rank,title,year,tmdb_id,notes
49,Mutiny on the Bounty,1935,12311,Academy Award for Best Picture winner; film year 1935; 8th ceremony; source Wikipedia/Academy table
50,Alice Adams,1935,43886,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
51,Broadway Melody of 1936,1935,43890,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
52,Captain Blood,1935,16905,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
53,David Copperfield,1935,43899,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
54,The Informer,1935,43896,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
55,The Lives of a Bengal Lancer,1935,43898,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
56,A Midsummer Night's Dream,1935,19075,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
57,Les Misérables,1935,43893,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
58,Naughty Marietta,1935,43894,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
59,Ruggles of Red Gap,1935,36006,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
60,Top Hat,1935,3080,Academy Award for Best Picture nominee; film year 1935; 8th ceremony; source Wikipedia/Academy table
61,The Great Ziegfeld,1936,43277,Academy Award for Best Picture winner; film year 1936; 9th ceremony; source Wikipedia/Academy table
62,Anthony Adverse,1936,37658,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
63,Dodsworth,1936,31507,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
64,Libeled Lady,1936,31773,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
65,Mr. Deeds Goes to Town,1936,24807,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
66,Romeo and Juliet,1936,43879,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
67,San Francisco,1936,43881,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
68,The Story of Louis Pasteur,1936,74469,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
69,A Tale of Two Cities,1936,17831,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
70,Three Smart Girls,1936,64142,Academy Award for Best Picture nominee; film year 1936; 9th ceremony; source Wikipedia/Academy table
71,The Life of Emile Zola,1937,43278,Academy Award for Best Picture winner; film year 1937; 10th ceremony; source Wikipedia/Academy table
72,The Awful Truth,1937,14675,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
73,Captains Courageous,1937,16515,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
74,Dead End,1937,27973,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
75,The Good Earth,1937,36652,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
76,In Old Chicago,1937,78734,Academy Award for Best Picture nominee; film year 1937; 10th ceremony; source Wikipedia/Academy table
